Latitude,Longitude,Crime Description,Count,Hour,Crime Frequency
33.7201,-118.288,BATTERY - SIMPLE ASSAULT,1,9,1
33.7201,-118.2757,BURGLARY,1,16,1
33.7202,-118.3026,THEFT OF IDENTITY,1,17,1
33.7203,-118.3093,THEFT OF IDENTITY,1,9,1
33.7203,-118.3084,VEHICLE - STOLEN,2,0,1
33.7203,-118.2723,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",14,0,4
33.7204,-118.2968,THEFT OF IDENTITY,2,2,1
33.7204,-118.2724,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",3,0,1
33.7206,-118.3253,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),2,3,1
33.7206,-118.322,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1,17,1
33.7206,-118.2946,VEHICLE - STOLEN,3,17,4
33.7206,-118.2929,BURGLARY FROM VEHICLE,1,7,1
33.7206,-118.2923,ROBBERY,1,22,1
33.7206,-118.2916,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,22,2
33.7206,-118.2907,THEFT OF IDENTITY,2,4,1
33.7206,-118.2902,INTIMATE PARTNER - SIMPLE ASSAULT,3,13,2
33.7206,-118.2898,INTIMATE PARTNER - SIMPLE ASSAULT,3,6,1
33.7206,-118.2889,BATTERY - SIMPLE ASSAULT,2,0,3
33.7206,-118.288,INTIMATE PARTNER - SIMPLE ASSAULT,7,4,4
33.7207,-118.3108,THEFT OF IDENTITY,4,14,4
33.7207,-118.3013,BATTERY - SIMPLE ASSAULT,2,21,2
33.7207,-118.2995,BATTERY - SIMPLE ASSAULT,2,2,3
33.7207,-118.299,BATTERY - SIMPLE ASSAULT,3,11,3
33.7207,-118.2973,"BUNCO, ATTEMPT",1,12,1
33.7207,-118.2968,VEHICLE - STOLEN,3,6,2
33.7207,-118.2955,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1,9,1
33.7207,-118.2951,INTIMATE PARTNER - SIMPLE ASSAULT,3,4,2
33.7208,-118.3057,THEFT OF IDENTITY,3,3,2
33.7208,-118.3056,BURGLARY FROM VEHICLE,1,9,1
33.7208,-118.3032,BATTERY - SIMPLE ASSAULT,1,11,1
33.7208,-118.3013,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1,6,1
33.7208,-118.2951,THEFT PLAIN - PETTY ($950 & UNDER),1,13,2
33.7209,-118.3228,THEFT OF IDENTITY,1,20,1
33.7209,-118.2947,BRANDISH WEAPON,1,2,1
33.721,-118.3093,INTIMATE PARTNER - SIMPLE ASSAULT,1,23,1
33.721,-118.2908,BATTERY - SIMPLE ASSAULT,9,11,3
33.721,-118.2889,BURGLARY FROM VEHICLE,1,21,1
33.721,-118.2764,VEHICLE - STOLEN,1,18,1
33.7211,-118.3289,DISCHARGE FIREARMS/SHOTS FIRED,1,10,1
33.7211,-118.3206,BATTERY - SIMPLE ASSAULT,1,8,1
33.7211,-118.3092,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,2,1
33.7211,-118.3057,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,0,1
33.7211,-118.3013,VEHICLE - STOLEN,1,12,1
33.7211,-118.2968,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1,10,1
33.7211,-118.2917,INTIMATE PARTNER - SIMPLE ASSAULT,2,3,1
33.7211,-118.2916,VEHICLE - STOLEN,1,17,1
33.7211,-118.2909,VIOLATION OF RESTRAINING ORDER,2,2,1
33.7212,-118.3237,BURGLARY,1,0,1
33.7212,-118.2909,VEHICLE - STOLEN,3,2,2
33.7213,-118.319,BURGLARY,1,2,1
33.7213,-118.3141,DOCUMENT FORGERY / STOLEN FELONY,1,16,1
33.7213,-118.314,THEFT OF IDENTITY,1,15,1
33.7213,-118.2935,BURGLARY FROM VEHICLE,1,11,1
33.7214,-118.325,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,21,2
33.7214,-118.3136,THEFT OF IDENTITY,1,17,1
33.7214,-118.2927,BURGLARY,5,12,3
33.7215,-118.3213,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1,11,1
33.7215,-118.2929,VEHICLE - STOLEN,1,19,1
33.7215,-118.2923,VEHICLE - STOLEN,1,23,1
33.7215,-118.2826,VEHICLE - STOLEN,6,12,3
33.7216,-118.3091,SHOPLIFTING - PETTY THEFT ($950 & UNDER),7,19,6
33.7216,-118.3083,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2,20,3
